ticker,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ABB,8.72,6.65,,,,,,,,,,,,,
ADANIENSOL,,,,0,-0.06,3.35,3.79,10.39,5.08,6.74,11.13,10.95,11.26,10.2,8.82
ADANIENT,,,,20.19,17.71,9.19,8.98,6.89,6.52,10.35,8.39,7.06,21.61,28.42,61.51
ADANIGREEN,,,,,,,-0.37,-1,-3.03,-0.15,1.34,3.13,6.15,6.94,9.12
ADANIPORTS,,,,8.4,11.18,13.99,18.89,17.74,19.27,18.52,24.58,23.13,24.58,37.55,51.35
ADANIPOWER,,,,-1.01,-2.84,1.65,-16.01,-5.45,-2.55,-5.9,3.29,12.73,27.81,54,33.55
AMBUJACEM,,,8.27,9.59,5.21,5.57,7.64,10.97,10.55,11.91,14,,13.01,16.28,16.92
APOLLOHOSP,,,21.88,22.77,24.43,16.99,15.88,8.44,16.96,32.7,10.46,73.42,56.97,62.5,
ASIANPAINT,,,,12.71,14.54,18.19,20.22,21.26,22.48,28.2,32.73,31.59,42.81,56.92,38.23
AXISBANK,,,,26.86,31.42,35.04,16.51,1.78,19.59,6.57,23.49,45.99,35.16,85.49,90.58
BAJAJ-AUTO,,,108.26,116.82,104.56,140.35,140.98,145.8,170.29,180.11,167.85,213.08,214.17,276.1,
BAJAJFINSV,,,,9.71,10.62,11.71,14.21,16.65,20.23,21.17,28.09,28.63,40.29,51.07,55.57
BAJAJHLDNG,,,166.8,178.59,182.33,203.54,222.22,238.54,273.9,268.84,327.95,364.41,435.83,652.98,
BAJFINANCE,,,,,17.9,23.74,33.4,43.19,69.12,87.48,73.35,116.09,190.07,233.46,267.73
BANKBARODA,,,,23.29,17.69,-21.99,7.88,-7.13,4.16,2.01,2.99,15.18,28.82,36.29,40.06
BEL,,,,1.2,1.51,1.69,2.07,1.96,2.58,2.5,2.87,3.28,4.08,5.45,7.28
BHARTIARTL,,,,5.04,8.41,11.05,6.91,2,0.74,-55.06,-25.63,7.23,14.97,13.2,58.85
BOSCHLTD,,,,,,488.42,570.17,449.24,541.91,220.22,163.43,413.07,483.33,844.69,
BPCL,,,,9.01,11.08,18.64,20.1,20.76,17.98,7.04,37.26,26.93,4.91,61.91,30.74
BRITANNIA,,,,16.48,28.71,34.36,36.85,41.83,48.23,58.33,77.38,63.31,96.39,88.84,90.45
CANBK,,,,10.37,10.96,-8.73,4.55,-10.78,1.6,-3.86,3.51,6.75,12.41,16.84,19.34
CGPOWER,,,,3.9,0.37,-7.33,-7.83,-11.47,-8.03,-21.12,9.68,6.33,6.3,9.34,6.37
CHOLAFIN,,,,5.14,6.18,7.36,9.21,11.76,15.32,12.86,18.55,26.23,32.42,40.72,50.69
CIPLA,,,,17.29,14.71,16.93,12.51,17.52,18.96,19.18,29.82,31.19,34.71,51.05,65.28
COALINDIA,,,,23.92,21.73,22.59,14.95,11.34,28.34,27.12,20.61,28.17,51.54,60.69,57.37
DABUR,,,,5.24,6.07,7.11,7.25,7.69,8.17,8.18,9.58,9.84,9.64,10.4,9.97
DIVISLAB,,,,29.13,32.07,42.41,39.95,33.04,50.96,51.85,74.75,111.52,68.71,60.27,82.53
DLF,,,4.19,3.63,3.03,1.72,4.01,25.02,5.98,-2.36,4.42,6.06,8.22,11.02,
DMART,,,,2.95,3.77,5.7,7.67,12.92,14.46,20.09,16.97,23.04,36.69,38.97,41.61
DRREDDY,,,,23.08,27.43,24.98,15.59,11.41,23.49,24.38,23.47,26.23,54.14,66.87,67.77
EICHERMOT,,,14.57,22.71,,49.27,61.27,71.89,80.75,66.91,49.28,61.32,106.55,146.13,172.69
GAIL,,,,7.07,4.67,2.76,4.98,7.09,9.68,13.93,9.21,18.4,8.54,15.06,18.93
GODREJCP,,,,7.44,8.88,8.1,12.76,15.99,22.91,14.64,16.83,17.44,16.65,-5.48,18.11
GRASIM,,,56.99,43.66,36.75,51.15,65.64,39.43,24.91,64.9,63.3,110.96,100.33,85.42,
HAL,,,,,24.89,27.72,36.3,29.76,34.82,43.1,48.53,75.96,87.14,113.96,125.07
HAVELLS,,,,7.15,6.17,20.82,7.91,10.6,12.59,11.75,16.68,19.1,17.11,20.28,23.48
HCLTECH,,,,23.25,26.02,19.86,30.16,31.32,37.31,40.75,41.07,49.74,54.73,57.86,64.12
