ticker,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ABB,7093,7253,,,,,,,,,,,,,
ADANIENSOL,,,,0,29,267,893,1118,4528,7158,5976,7051,8775,10896,16701
ADANIENT,,,,45564,52015,32325,34631,33886,38409,41108,37031,65707,118722,85044,83643
ADANIGREEN,,,,,,,98,637,532,1098,883,1621,2806,1902,2335
ADANIPORTS,,,,1910,2250,2532,3021,4166,4330,5926,3862,7591,9905,11121,12054
ADANIPOWER,,,,10735,14005,16575,16635,14868,18901,20734,17533,17830,28677,32124,34898
AMBUJACEM,,,7492,8022,7895,16913,19751,22030,22507,19511,22755,,33815,26760,29074
APOLLOHOSP,,,3157,3681,4392,5465,6522,7442,8548,9656,9420,12474,14548,16665,
ASIANPAINT,,,,10217,11372,11546,12068,13621,15475,16054,16857,24298,28229,27910,27899
AXISBANK,,,,18703,21341,24344,26789,27604,33883,37996,34627,34923,43389,61391,71036
BAJAJ-AUTO,,,16370,15974,17467,17781,17326,20364,25160,24809,22803,27886,29991,36106,
BAJAJFINSV,,,,1531,5823,13795,15794,22074,27569,36094,40950,46951,52204,69497,84612
BAJAJHLDNG,,,15,23,40,42,215,65,85,134,106,117,142,140,
BAJFINANCE,,,,,2274,2959,3853,4696,6723,9608,9519,9855,12701,18886,24771
BANKBARODA,,,,27604,30547,32107,29596,29160,32506,50040,43201,38815,49942,69899,78265
BEL,,,,5593,5913,5961,6864,8361,9255,10209,10895,12024,13645,15217,16935
BHARTIARTL,,,,59352,62499,62548,60138,52560,55016,50930,55337,59013,67871,71691,79826
BOSCHLTD,,,,,,7823,8473,9597,9931,8358,8555,10319,13120,14632,
BPCL,,,,255007,232818,174844,187468,220578,283113,275597,209170,327654,462288,404001,414870
BRITANNIA,,,,6286,6988,7174,7776,8413,9322,9756,10627,11935,13470,13603,14766
CANBK,,,,30606,34133,34263,31540,29113,32339,35817,45182,43035,52990,72118,82681
CGPOWER,,,,13019,5511,5181,5645,7893,7699,5079,2848,4837,5967,6904,8604
CHOLAFIN,,,,1769,1958,2048,2228,2657,3588,4592,4576,4298,5748,9231,12495
CIPLA,,,,8026,9183,11310,11898,12329,13265,13926,14907,17211,17726,19483,20420
COALINDIA,,,,52842,56777,59147,65716,75956,74579,74500,71398,84995,94020,94352,96306
DABUR,,,,5897,6475,6261,6102,6104,6775,6892,7560,8637,9367,10004,10247
DIVISLAB,,,,1514,1942,2354,2615,2622,3072,3568,4102,5075,5397,5635,6392
DLF,,,5140,5805,4635,5960,4775,4329,6218,4937,3945,3974,3969,4303,
DMART,,,,4345,5983,7919,10929,13680,18371,22742,22398,28474,39201,46683,54871
DRREDDY,,,,10164,11515,11983,11724,11930,12270,15040,15173,17778,18200,20078,24097
EICHERMOT,,,6094,7621,,4484,4859,6156,6893,6971,6937,8120,10996,12206,14158
GAIL,,,,53777,54926,47517,42531,46695,66252,63495,50127,77608,138168,118914,126472
GODREJCP,,,,6430,6894,6766,7361,7763,8183,7757,8629,9867,10873,11139,11361
GRASIM,,,21986,23416,26590,28576,28682,44281,60560,57880,57769,75270,96038,103783,
HAL,,,,,13560,14285,14719,15071,15457,16531,17538,19205,20242,20630,21373
HAVELLS,,,,7274,7713,6798,5315,7083,8885,8374,8868,12163,15290,16709,19603
HCLTECH,,,,24108,28215,24482,37178,39323,46501,53360,55331,65122,78828,85715,91551
HDFCBANK,,,,23445,27288,34070,38042,42381,53713,62137,59248,58584,77780,154139,183894
HDFCLIFE,,,,16561,26341,17187,29674,31186,37640,28239,70294,66348,70127,100951,96095
HEROMOTOCO,,,,21722,24018,24033,24025,27124,28946,25184,26902,26295,30060,32554,35139
HINDALCO,,,72494,79671,95437,90981,87867,101488,115031,103838,114449,166712,200536,192090,
HINDUNILVR,,,,24475,26560,26276,26834,28046,30430,29922,35402,39589,46433,47237,48278
ICICIBANK,,,,29711,32318,33996,34836,34262,39178,44666,42659,41167,50543,74108,89028
ICICIPRULI,,,,20384,32798,19008,36010,37062,40922,21344,83572,65728,52235,92136,69769
INDHOTEL,,,,3504,3762,3411,3411,3432,3682,3496,1937,2651,4005,4609,5565
INDIGO,,,,,,,16362,19991,28646,31666,14626,25356,47915,52548,
INDUSINDBK,,,,,,7355,8343,9783,13415,16724,15472,15822,18776,25132,
INFY,,,,36743,38436,45362,49880,51700,62505,68524,72583,90150,111637,117245,123754
IOC,,,,471123,438932,324007,321230,379834,492896,467710,324021,541563,811073,700706,722115
ITC,,,20398,22227,24566,24661,27298,26928,29802,30044,32193,40021,45215,44634,
JINDALSTEL,,,,13487,13937,16032,16894,26817,38553,31092,23646,35650,43270,40153,40280
JSWENERGY,,,,5394,5723,5796,4939,5336,6283,5316,4009,4596,7050,6104,6525
JSWSTEEL,,,31698,42051,43608,35124,43296,57017,65827,61513,59661,107257,147490,146849,
KOTAKBANK,,,,6312,6966,11123,11458,12467,15187,15901,12967,11554,14411,22567,28275
LODHA,,,,3797,4769,6123,6313,7995,8728,10526,4066,7047,7406,7651,9793
LT,,,,70968,76245,85637,92691,99572,112354,120899,112519,132207,156175,191248,222997
LTIM,,,,3773,3973,4819,5271,6119,7562,8849,9645,20860,27075,29130,31513
M&M,,,,63830,62655,65759,73038,78868,89514,65224,62791,75488,100983,114186,128693
MARUTI,,,,39232,43909,48565,57664,67692,75012,68305,64961,82578,105288,123232,132757
MOTHERSON,,,23819,28017,31817,33668,38204,51174,58174,56075,53000,59060,72537,89370,
NAUKRI,,,351,471,711,656,896,769,1142,1662,1054,1143,1997,1825,
NESTLEIND,,,,,,,,,,,,,14655,,15452
NTPC,,,53370,58603,62605,54829,60445,65598,77576,77878,77487,92307,128611,127045,
ONGC,,,118482,124991,118610,84901,229702,265817,346805,344623,254375,411373,556764,488561,
PFC,,,10995,13053,15456,16657,16768,30289,34627,40845,44684,44709,47017,57962,
PIDILITIND,,,,3611,4073,4188,4355,4737,5707,5718,5606,8065,9813,9675,10131
PNB,,,,28220,31343,34331,32722,33530,34656,36997,50805,46823,51817,68534,80704
POWERGRID,,,2244,2588,2613,2468,3247,3993,8140,4858,4734,5796,6028,6017,
RECLTD,,,,572,1149,1680,1888,3379,1702,3981,3292,4838,1858,-366,2161
RELIANCE,,,,398586,336923,230802,257647,326508,484087,507413,385517,586092,734078,736543,799249
SBIN,,,,121479,133179,143047,149115,146603,155867,161124,156010,156194,189981,259736,300943
SHREECEM,,,,4325,4916,4107,6081,7360,9758,9098,9468,11300,14893,16003,15349
SHRIRAMFIN,,,,4233,4706,5088,5219,6409,7564,8313,9089,9773,12987,15588,18455
SIEMENS,10784,,,10559,9565,9815,10008,11468,11594,8944,11746,14278,17067,19136,
SUNPHARMA,,,6346,9078,19498,20313,21476,20858,22689,25855,25028,28397,32235,35479,
TATACONSUM,,,,6986,7201,6271,5988,5976,6466,8345,10058,10707,11927,12922,15139
TATAMOTORS,,,,197980,223920,234650,240104,260093,277274,243081,217507,253734,314151,378389,383557
TATAPOWER,,,,28810,27292,27389,22114,24545,26811,22331,25782,35785,47381,50714,52525
TATASTEEL,,,,132430,136095,102590,99156,101816,128351,122354,125790,180469,211053,206923,193244
TCS,,,,56657,70167,77969,85655,90588,106957,114840,117631,138697,166199,176597,187917
TECHM,,,,14630,18428,22234,24956,26063,28471,31365,31059,36626,45527,47489,46024
TITAN,,,,9880,10761,10337,12097,14476,17785,18589,19919,25455,35693,45792,54762
TORNTPHARM,,,2506,3216,3616,3954,4438,4601,5690,5769,5524,6077,6778,7360,
TRENT,,,,2343,2196,1596,1679,1949,2390,2957,2479,3903,7128,10404,14376
TVSMOTOR,,,,7892,9650,10558,11591,14769,17997,16585,17189,21601,27947,33645,37514
ULTRACEMCO,,,,16695,18881,20252,20162,24834,34115,33184,33158,41084,52620,57940,63408
UNITDSPR,,,9287,13876,9619,8162,7826,7381,7947,7756,7080,8117,9195,9321,
VBL,,,1824,2116,2752,3052,3165,4069,5667,5235,7129,10310,12326,15193,
VEDL,,,,46557,51595,82741,50849,66989,68877,63704,60703,87908,112877,108415,110625
WIPRO,,,,33788,36652,40448,44128,44100,47406,48795,47164,62628,73649,73008,71067
ZYDUSLIFE,,,5228,6021,6896,7095,7474,9074,10174,11455,11013,11768,13378,14163,
