ticker,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ABB,185,141,,,,,,,,,,,,,
ADANIENSOL,,,,0,-7,368,416,1143,559,706,1290,1236,1281,1196,922
ADANIENT,,,,2646,2298,1000,925,594,506,1040,1046,788,2422,3335,8005
ADANIGREEN,,,,,,,-47,-138,-475,-68,182,489,973,1260,2001
ADANIPORTS,,,,1741,2324,2856,3902,3690,4045,3785,5049,4953,5391,8104,11061
ADANIPOWER,,,,-291,-816,551,-6174,-2103,-984,-2275,1270,4912,10727,20829,12750
AMBUJACEM,,,1278,1487,808,1434,1945,2973,2783,3107,3711,,3024,4738,5158
APOLLOHOSP,,,303,315,335,235,131,60,200,432,137,1108,844,935,
ASIANPAINT,,,,1263,1427,1803,2016,2098,2208,2774,3207,3085,4195,5558,3710
AXISBANK,,,,6311,7450,8358,3967,464,5047,1879,7252,14207,10919,26492,28191
BAJAJ-AUTO,,,3133,3380,3026,4061,4079,4219,4928,5212,4857,6166,6060,7708,
BAJAJFINSV,,,,2191,2409,2775,3450,4176,5374,5994,7367,8314,12210,15595,17558
BAJAJHLDNG,,,1856,1988,2029,2265,2473,2655,3048,3080,3654,4126,4946,7365,
BAJFINANCE,,,,,898,1279,1836,2496,3995,5264,4420,7028,11508,14451,16779
BANKBARODA,,,,5036,3950,-5033,1855,-1836,1166,981,1620,7933,15005,18869,20865
BEL,,,,952,1197,1337,1523,1431,1887,1825,2100,2400,2986,3985,5323
BHARTIARTL,,,,3019,5048,6893,4241,2184,1688,-30664,-12364,8305,12287,8558,37481
BOSCHLTD,,,,,,1534,1740,1371,1598,650,482,1218,1426,2491,
BPCL,,,,4053,5082,8089,9507,9792,8528,3666,17320,11682,2131,26859,13337
BRITANNIA,,,,395,689,825,885,1004,1155,1394,1851,1516,2316,2134,2178
CANBK,,,,2672,2931,-2535,1411,-3873,696,-1921,2957,6158,11345,15401,17692
CGPOWER,,,,244,22,-461,-491,-715,-507,-1331,1280,913,963,1428,973
CHOLAFIN,,,,368,444,575,718,918,1197,1054,1521,2154,2665,3420,4263
CIPLA,,,,1404,1229,1383,1035,1417,1492,1500,2389,2547,2833,4154,5269
COALINDIA,,,,15112,13727,14267,9280,7038,17464,16700,12702,17378,31723,37369,35302
DABUR,,,,916,1068,1254,1280,1358,1446,1448,1695,1742,1701,1811,1740
DIVISLAB,,,,773,852,1126,1060,877,1353,1377,1984,2960,1824,1600,2191
