ticker,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ABB,7449,7608,,,,,,,,,,,,,
ADANIENSOL,,,,0,131,2194,2876,3944,7305,11416,9926,11258,13293,16607,23767
ADANIENT,,,,54947,64465,34008,36533,35924,40379,43403,39537,69420,127540,96421,97895
ADANIGREEN,,,,,,,502,1480,2058,2549,3124,5133,7776,9220,11212
ADANIPORTS,,,,4830,6152,7109,8439,11323,10925,11873,12550,17119,20852,26711,31079
ADANIPOWER,,,,15328,18683,25377,22616,20304,23884,26468,26221,27711,38773,50351,56203
AMBUJACEM,,,9161,9955,9437,20094,23609,26041,27104,24516,28965,,38937,33160,35045
APOLLOHOSP,,,3769,4357,5129,6150,7256,8243,9617,11247,10560,14663,16612,19059,
ASIANPAINT,,,,12220,13615,14271,15062,16825,19240,20211,21713,29101,34489,35495,33906
AXISBANK,,,,30736,35727,41409,45175,46614,56044,63716,64397,68846,87448,112759,127374
BAJAJ-AUTO,,,20025,20137,21595,22574,21755,25210,30358,29919,27741,33145,36455,44870,
BAJAJFINSV,,,,6023,11335,20533,24507,32862,42605,54351,60592,68406,82072,110382,133821
BAJAJHLDNG,,,337,423,524,470,842,420,431,435,457,484,522,1702,
BAJFINANCE,,,,,5392,7299,9970,12746,18487,26374,26673,31641,41411,54972,69684
BANKBARODA,,,,40463,44915,45799,44473,46056,52906,78895,74314,73385,94503,118379,127945
BEL,,,,6518,7093,7354,8656,10401,12164,12968,14109,15368,17734,20268,23769
BHARTIARTL,,,,85864,96101,96532,95468,82639,80780,87539,100616,116547,139145,149982,172985
BOSCHLTD,,,,,,9701,10435,11690,12085,9842,9716,11782,14929,16727,
BPCL,,,,264421,242598,187815,201251,235895,298226,284572,230171,346791,473187,448083,440272
BRITANNIA,,,,6913,7858,8397,9054,9914,11055,11600,13136,14136,16301,16769,17943
CANBK,,,,39570,43813,44039,41457,41345,47951,49759,70253,70614,85885,110519,121601
CGPOWER,,,,13632,5800,5269,5517,8031,7998,5110,2964,5484,6973,8046,9909
CHOLAFIN,,,,3279,3715,4214,4694,5559,7108,8712,9583,10148,12884,19163,25846
CIPLA,,,,10173,11345,13790,14394,15156,16362,17132,19160,21763,22753,25774,27548
COALINDIA,,,,70608,74120,77861,78164,85244,99586,96080,90026,109715,138252,142324,143369
DABUR,,,,7058,7795,7780,7614,7722,8515,8685,9562,10889,11530,12404,12563
DIVISLAB,,,,2532,3115,3776,4064,3891,4946,5394,6969,8960,7767,7845,9360
DLF,,,7773,8298,7649,9926,8221,6707,8366,6083,5414,5717,5695,6427,
DMART,,,,4686,6439,8584,11898,15033,20005,24870,24143,30976,42840,50789,59358
DRREDDY,,,,13415,15023,15568,14196,14281,15448,17517,19048,21545,24670,28011,32644
EICHERMOT,,,6810,8738,,6173,7033,8965,9797,9154,8720,10298,14442,16536,18870
GAIL,,,,61765,60557,52053,48552,54496,76190,72518,57372,92770,145668,133228,141903
GODREJCP,,,,7599,8273,8424,9268,9847,10314,9911,11029,12276,13316,14096,14364
GRASIM,,,27909,28331,31734,34487,36068,55894,77200,68252,76404,95701,117627,130978,
HAL,,,,,15939,16758,17950,18520,20008,21445,22882,24620,26927,30381,30981
HAVELLS,,,,8051,8468,7594,6130,8116,10073,9440,10457,13938,16911,18590,21778
HCLTECH,,,,32144,36701,31136,47568,50569,60427,70676,75379,85651,101456,109913,117055
HDFCBANK,,,,42555,50666,63162,73271,85288,105161,122189,128552,135936,170754,283649,336367
HDFCLIFE,,,,17166,27215,18141,30647,32260,38855,29380,71528,67126,70207,101482,96922
HEROMOTOCO,,,,25275,27538,28457,28610,32458,33971,29254,30959,29551,34158,37789,40923
HINDALCO,,,80193,87695,104281,98759,100184,115183,130542,118144,132008,195059,223202,215962,
HINDUNILVR,,,,29234,31972,32186,33162,35545,39310,39783,47028,52446,60580,61896,63121
ICICIBANK,,,,49479,54964,59294,60940,62162,71982,84836,89163,95407,121067,159516,186331
ICICIPRULI,,,,21888,34453,20849,37816,38832,41463,21025,83182,63564,50478,90307,70778
INDHOTEL,,,,4066,4189,4023,4021,4104,4512,4463,1575,3056,5810,6769,8335
INDIGO,,,,,,,18580,23021,28497,35756,14641,25931,54446,68904,
INDUSINDBK,,,,,,11872,14406,17281,22261,28783,29000,30822,36368,45748,
INFY,,,,50133,53319,62441,68484,70522,82675,90791,100472,121641,146767,153670,162990
IOC,,,,488345,449507,346045,355379,421492,528158,483763,363950,589321,841756,776352,758106
ITC,,,31618,35306,38817,39192,42768,43449,48340,49388,49257,60645,70919,70866,
JINDALSTEL,,,,19286,19401,19469,21603,33286,46966,37923,34579,51166,53212,50354,49765
JSWENERGY,,,,8648,9347,9824,8263,8049,9138,8273,6922,8167,10332,11486,11745
JSWSTEEL,,,38210,51220,52972,41546,55604,71933,84757,73326,79839,146371,165960,175006,
KOTAKBANK,,,,11986,13319,20402,22324,25131,29831,33474,32820,33741,42151,56237,65669
LODHA,,,,4711,6236,8249,7926,9677,11907,12443,5449,9233,9470,10316,13780
LT,,,,85054,91929,101122,109312,119683,135220,145452,135979,156521,183341,221113,255734
LTIM,,,,4920,4978,5846,6501,7306,9446,10879,12370,26109,33183,35517,38008
M&M,,,,74001,71448,75841,83773,92094,104721,75382,74278,90171,121269,139078,159211
MARUTI,,,,44542,50801,57589,68085,79809,86068,75660,70372,88330,118410,141858,152913
MOTHERSON,,,25298,30414,34661,37216,42376,56303,63523,60729,57370,63774,78788,98692,
NAUKRI,,,472,567,732,748,888,988,1151,1312,1128,1589,2346,2536,
NESTLEIND,,,,,,,,,,,,,19126,,20202
NTPC,,,71518,78330,79957,73396,82042,88083,100287,109464,111531,132669,176207,178501,
ONGC,,,161984,174121,160923,124036,282506,322706,421624,396728,303849,491246,632291,591396,
PFC,,,17314,21407,24988,27861,27581,48624,54106,62189,71656,76262,77807,91691,
PIDILITIND,,,,4283,4844,5361,5617,6078,7078,7294,7293,9921,11799,12383,13140
PNB,,,,44958,48710,50804,48058,48725,52147,54918,81935,76242,86845,109065,124010
POWERGRID,,,13081,15555,17540,20652,25697,29954,35059,37744,39640,41622,45603,45843,
RECLTD,,,,17223,20544,24125,24338,22658,25408,29942,35557,39276,39486,47517,56367
RELIANCE,,,,433521,374372,272583,303954,390823,568337,596679,466307,694673,876396,899041,964693
SBIN,,,,189062,207974,220633,230447,228970,253322,269852,278115,289973,350845,439189,490938
SHREECEM,,,,5715,6259,5514,8594,9833,12555,12868,13560,15010,17852,20521,19283
SHRIRAMFIN,,,,8476,9177,10359,10903,13502,15536,16561,17422,19255,30492,36388,41834
SIEMENS,11955,,,10678,10563,10837,11065,12795,13084,9946,13198,16138,19554,22240,
SUNPHARMA,,,11131,16080,27392,28487,31578,26489,29066,32838,33498,38654,43886,48497,
TATACONSUM,,,,7738,7993,6637,6780,6815,7252,9637,11602,12425,13783,15206,17618
TATAMOTORS,,,,232834,263159,273046,269693,291550,301938,261068,249795,278454,345967,437928,439695
TATAPOWER,,,,35726,33593,29494,27588,26840,29881,29136,32703,42816,55109,61449,65478
TATASTEEL,,,,148614,139504,101965,112299,123249,157669,139817,156294,243959,243353,229171,218543
TCS,,,,81809,94648,108646,117966,123104,146463,156949,164177,191754,225458,240893,255324
TECHM,,,,18802,22621,26494,29141,30773,34742,36868,37855,44646,53290,51996,52988
TITAN,,,,10927,11913,11276,13261,16120,19779,21052,21644,28799,40575,51084,60456
TORNTPHARM,,,3203,4172,4636,6687,5816,5950,7673,7939,8005,8508,9620,10728,
