ticker,2011-12-01,2019-03-01,2019-06-01,2019-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01,2023-12-01,2024-03-01,2024-06-01,2024-09-01,2024-12-01,2025-03-01
ABB,3.03,5.48,6.15,6.38,,3.76,6.87,,,,,,,,,,,
ADANIENSOL,,,,,,2.09,1.67,1.85,4.26,3.49,1.57,2.47,2.91,3.24,-7.39,5.62,4.68,5.39
ADANIENT,,,,,,2.77,4.12,4.04,7.19,6.34,5.91,2,16.57,3.95,12.76,15.28,0.5,33.31
ADANIGREEN,,,,,,0.77,1.35,0.94,0.65,3.21,2.03,2.35,1.62,0.95,2.82,1.74,3.11,1.45
ADANIPORTS,,,,,,5.22,5.48,7.94,6.09,5.36,9.79,8.09,10.22,9.44,14.41,11.32,11.67,13.95
ADANIPOWER,,,,,,12.04,12.39,1.8,0.02,13.59,22.71,17.1,7.1,7.1,10.14,8.64,7.93,6.84
AMBUJACEM,,,,,,3.32,3.79,0.47,2.19,3.25,4.56,3.99,4.15,4.78,2.6,1.85,8.59,3.88
APOLLOHOSP,,,,,15.88,6.27,22.06,14.19,10.68,10.05,11.59,16.2,17.06,17.65,21.23,26.34,25.89,
ASIANPAINT,,,,,,8.87,10.6,8.16,11.18,12.87,16.16,12.57,15.09,13.1,12.2,7.24,11.58,7.22
AXISBANK,,,,,,14.39,14.26,18.27,20.12,-17.43,19.78,20.13,21.05,24.62,20.83,23.93,21.78,24.13
BAJAJ-AUTO,,,,,49.41,52.74,40.2,59.42,52.05,60.25,58.11,71.39,71.78,72.05,69.55,49.61,78.62,
BAJAJFINSV,,,,,,8.46,8.23,9.77,11.19,11.11,12.2,12.09,13.52,13.28,13.39,13.07,13.97,15.14
BAJAJHLDNG,,,,,93.46,99.32,87.1,111.67,115.52,121.55,127.19,133.98,147.76,244.05,144.7,129.06,157.09,
BAJFINANCE,,,,,,39.96,42.88,45.93,49.11,52.16,56.72,58.6,58.88,61.79,63.2,64.62,68.6,72.09
BANKBARODA,,,,,,3.93,3.76,6.58,8.33,10.16,8.61,8.5,9.26,9.92,9.14,10.36,10.08,10.48
BEL,,,,,,1.58,0.5,0.85,0.84,1.89,0.74,1.08,1.18,2.46,1.08,1.49,1.79,2.91
BHARTIARTL,,,,,,3.41,2.73,3.86,2.85,5.39,2.89,2.39,4.34,3.66,7.31,6.31,25.95,19.33
BOSCHLTD,,,,,79.68,118.97,113.28,126.67,108.4,134.98,138.78,338.99,175.7,191.23,158.1,181.97,155.53,
BPCL,,,,,,6.46,-14.17,-0.78,4.03,15.84,24.53,19,7.33,11.04,6.55,5.29,8.77,10.12
BRITANNIA,,,,,,15.77,14.01,20.48,38.71,23.19,19,24.39,23.1,22.35,20.99,22.06,24.15,23.25
CANBK,,,,,,2.12,2.4,2.98,3.34,3.68,4.12,4.19,4.18,4.36,4.48,4.62,4.65,5.59
CGPOWER,,,,,,0.77,0.85,1.17,1.49,2.79,1.33,1.59,4.89,1.53,1.58,1.45,1.57,1.78
CHOLAFIN,,,,,,8.36,6.84,6.85,8.33,10.4,8.64,9.4,10.39,12.68,11.27,11.52,12.94,14.98
CIPLA,,,,,,4.49,8.51,9.78,9.92,6.51,12.33,14.01,13.08,11.63,14.58,16.13,19.45,15.13
COALINDIA,,,,,,10.86,14.33,9.81,12.58,11.16,17.08,13.06,16.64,13.91,17.78,10.21,13.8,15.58
DABUR,,,,,,1.66,2.49,2.77,2.69,1.7,2.62,2.91,2.9,1.97,2.82,2.4,2.95,1.81
DIVISLAB,,,,,,33.7,26.44,18.57,11.53,12.09,13.41,13.11,13.49,20.27,16.2,19.21,22.19,24.94
DLF,,,,,1.53,1.64,1.9,1.93,2.1,2.3,2.13,2.52,2.65,3.72,2.61,5.58,4.28,
DMART,,,,,,6.59,9.93,10.59,9.1,7.1,10.12,9.58,10.61,8.66,11.89,10.14,11.12,8.47
DRREDDY,,,,,,1.17,14.29,13.39,14.94,11.53,16.87,17.77,16.56,15.7,16.69,15.05,16.94,19.09
EICHERMOT,,,,,,22.31,22.33,24.02,27.09,33.11,33.58,37.12,36.38,39.1,40.2,40.15,42.7,49.68
ETERNAL,,,,,,-0.46,-0.24,-0.29,-0.41,-0.22,0,0.04,0.16,0.2,0.29,0.2,0.06,0.04
