ticker,2011-12-01,2019-03-01,2019-06-01,2019-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01,2023-12-01,2024-03-01,2024-06-01,2024-09-01,2024-12-01,2025-03-01
ABB,2094,1705,1602,1622,,1787,1898,,,,,,,,,,,
ADANIENSOL,,,,,,2029,2459,2088,2074,2154,2395,2324,3092,3141,3728,4469,4170,4335
ADANIENT,,,,,,23603,39102,36306,24983,25337,20119,17116,21824,25985,21767,18842,19778,23256
ADANIGREEN,,,,,,489,687,718,1118,334,81,521,645,693,392,850,460,671
ADANIPORTS,,,,,,2084,2969,2320,2090,2526,2558,2982,2724,2887,2820,2832,3161,3482
ADANIPOWER,,,,,,5366,8003,6096,6295,8335,7491,7819,8346,8514,8761,8063,8648,9425
AMBUJACEM,,,,,,6476,6922,6809,6885,6727,7046,6122,6397,7195,7032,6405,7617,8021
APOLLOHOSP,,,,,3052,3083,3317,3699,3780,3814,3909,4219,4237,4303,4410,4774,4765,
ASIANPAINT,,,,,,6449,7051,7230,7025,6923,7061,6762,7047,7039,7276,6788,6913,6923
AXISBANK,,,,,,9162,9565,10150,11094,12580,13972,14749,15943,16727,17261,17615,18040,18121
BAJAJ-AUTO,,,,,7650,6614,6719,8453,7561,7272,8380,8708,9750,9271,9562,11174,10418,
BAJAJFINSV,,,,,,12769,9573,13416,13924,15470,13935,16073,18601,21108,19655,21420,19669,23868
BAJAJHLDNG,,,,,31,33,37,37,37,32,36,33,36,35,61,46,31,
BAJFINANCE,,,,,,2568,2645,2972,3351,3592,4103,4537,4868,5217,5684,6149,6386,6552
BANKBARODA,,,,,,9956,10496,11495,13161,14790,16060,17528,18002,18309,18582,19266,20143,20273
BEL,,,,,,4762,2618,3093,3290,4647,2860,2995,3090,6277,3295,3205,4101,6334
BHARTIARTL,,,,,,15460,16275,16933,17720,17312,17842,17530,18085,18234,18799,19627,20533,20867
BOSCHLTD,,,,,2752,2870,3095,3230,3256,3541,3690,3639,3627,3676,3797,3834,3883,
BPCL,,,,,,98126,126906,113406,114957,107031,97200,90104,109300,107600,107468,98268,105710,103494
BRITANNIA,,,,,,3001,3200,3668,3379,3222,3322,3562,3437,3286,3497,3888,3750,3632
CANBK,,,,,,10856,11396,12681,13622,15292,16337,17934,18620,19226,19534,20427,21163,21556
CGPOWER,,,,,,1319,1456,1437,1475,1627,1609,1693,1718,1908,1900,2118,2185,2406
CHOLAFIN,,,,,,1071,1130,1340,1543,1734,2006,2204,2441,2579,2796,3059,3275,3365
CIPLA,,,,,,4511,4232,4526,4403,4566,4835,4944,4856,4847,4978,5165,5084,5192
COALINDIA,,,,,,23607,22865,22700,24781,28819,22431,22738,23183,26826,22126,22056,24541,26034
DABUR,,,,,,2065,2279,2386,2434,2268,2526,2543,2588,2348,2694,2476,2673,2403
DIVISLAB,,,,,,1414,1406,1234,1299,1464,1274,1430,1366,1572,1496,1622,1576,1700
DLF,,,,,1028,1180,1028,866,1018,1058,1027,885,1010,1381,1134,1473,1129,
DMART,,,,,,8047,9030,9746,10604,9823,10830,11619,12453,11783,12848,13351,14755,13917
DRREDDY,,,,,,5024,4292,4433,4851,4781,4696,4894,5214,5283,5566,5962,6108,6530
EICHERMOT,,,,,,2436,2566,2698,2864,2871,2966,3027,3089,3127,3228,3175,3772,3983
ETERNAL,,,,,,1662,1721,1973,2314,2282,2464,2895,3237,3476,4029,4573,5243,5761
GAIL,,,,,,23064,33350,36777,35403,32651,30128,29405,30490,28908,29948,29952,33665,32907
GODREJCP,,,,,,2453,2604,2850,2872,2559,2806,2898,2819,2630,2607,2907,3012,2839
GRASIM,,,,,19531,23470,22059,22894,23775,27332,24708,24173,25073,29835,27156,27546,27997,
HAL,,,,,,9061,2796,3523,4680,9262,3039,4108,4626,8867,3357,4336,5275,8405
HAVELLS,,,,,,3906,3883,3393,3704,4332,4432,3527,3981,4807,5234,4164,4462,5787
HCLTECH,,,,,,17545,18489,19261,20335,20743,20931,20743,21659,22382,22264,22493,23030,23764
HDFCBANK,,,,,,15227,16358,18311,20505,22606,25955,41250,43242,43692,44580,45414,46914,46986
HDFCLIFE,,,,,,17228,6386,22815,19787,21215,23045,23557,26663,27766,26623,28807,16852,23814
HEROMOTOCO,,,,,,6661,7527,8096,7177,7345,7734,8174,8403,8298,8804,9033,8844,8529
HINDALCO,,,,,42960,48460,49589,50814,49603,50530,47277,48557,46943,49314,49510,50320,50807,
HINDUNILVR,,,,,,10466,11222,11665,11903,11643,11832,11828,11902,11675,11965,12139,12123,12052
ICICIBANK,,,,,,10634,11089,11997,12978,14479,16368,17908,19409,20424,21122,22225,22633,23047
ICICIPRULI,,,,,,13701,-1483,22869,17502,11400,23663,17682,26584,22760,25362,24839,4295,15272
INDHOTEL,,,,,,713,888,939,1089,1090,1056,1078,1231,1246,1101,1325,1571,1568
INDIGO,,,,,7512,7983,12257,12470,11815,11409,11709,12744,14303,13832,14412,15338,16932,
