ticker,2011-12-01,2019-03-01,2019-06-01,2019-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01,2023-12-01,2024-03-01,2024-06-01,2024-09-01,2024-12-01,2025-03-01
ABB,64,116,130,135,,80,146,,,,,,,,,,,
ADANIENSOL,,,,,,237,168,194,478,440,182,284,348,381,-1191,773,625,714
ADANIENT,,,,,,326,469,432,740,781,677,333,1973,352,1772,1989,229,4015
ADANIGREEN,,,,,,121,214,149,103,507,323,371,256,310,629,515,474,383
ADANIPORTS,,,,,,1112,1177,1738,1337,1139,2119,1762,2208,2015,3107,2413,2518,3023
ADANIPOWER,,,,,,4645,4780,696,9,5242,8759,6594,2738,2737,3913,3298,2940,2599
AMBUJACEM,,,,,,856,865,51,488,763,1135,987,1091,1521,783,473,2620,1282
APOLLOHOSP,,,,,243,97,324,213,162,146,173,249,254,258,316,396,379,
ASIANPAINT,,,,,,874,1036,804,1097,1258,1575,1232,1475,1275,1187,694,1128,701
AXISBANK,,,,,,4444,4402,5636,6215,-5334,6113,6230,6520,7630,6467,7436,6779,7509
BAJAJ-AUTO,,,,,1430,1526,1163,1719,1473,1705,1644,2020,2033,2011,1942,1385,2196,
BAJAJFINSV,,,,,,2534,2578,2997,3300,3335,3709,3756,4045,4085,4209,4180,4412,4756
BAJAJHLDNG,,,,,1042,1106,970,1336,1287,1353,1416,1588,1645,2716,1615,1510,1750,
BAJFINANCE,,,,,,2420,2596,2781,2973,3158,3437,3551,3639,3825,3912,4014,4308,4546
BANKBARODA,,,,,,2053,1942,3392,4356,5315,4468,4426,4815,5160,4764,5405,5250,5447
BEL,,,,,,1155,366,624,614,1382,539,790,860,1797,791,1093,1312,2127
BHARTIARTL,,,,,,3715,2469,2979,2614,4226,1520,2093,2876,2068,4718,4153,16135,12476
BOSCHLTD,,,,,235,351,334,374,320,398,409,1000,518,564,466,537,459,
BPCL,,,,,,2803,-6148,-338,1747,6870,10644,8244,3181,4790,2842,2297,3806,4392
BRITANNIA,,,,,,378,336,491,932,558,455,586,556,537,505,532,582,559
CANBK,,,,,,2061,2193,2730,3058,3364,3755,3829,3827,3991,4098,4227,4256,5111
CGPOWER,,,,,,112,130,179,228,426,204,242,748,234,241,220,238,274
CHOLAFIN,,,,,,687,562,563,685,855,710,773,872,1065,947,968,1088,1260
CIPLA,,,,,,371,706,797,808,522,998,1155,1068,932,1175,1305,1575,1214
COALINDIA,,,,,,6715,8834,6044,7719,6869,10498,8049,10292,8530,10944,6275,8491,9593
DABUR,,,,,,294,441,491,477,293,457,507,506,341,494,418,516,313
DIVISLAB,,,,,,895,702,493,306,321,356,348,358,538,430,510,589,662
DLF,,,,,379,406,469,477,518,570,526,622,656,920,645,1381,1059,
DMART,,,,,,427,643,686,590,460,659,623,690,563,774,659,724,551
DRREDDY,,,,,,97,1189,1114,1244,960,1405,1482,1381,1310,1392,1342,1404,1587
EICHERMOT,,,,,,610,611,657,741,906,918,1016,996,1070,1101,1100,1170,1362
ETERNAL,,,,,,-360,-186,-251,-347,-188,2,36,138,175,253,176,59,39
GAIL,,,,,,3474,3251,1305,398,643,1793,2442,3193,2474,3183,2690,4084,2506
