ticker,2011-12-01,2019-03-01,2019-06-01,2019-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01,2023-12-01,2024-03-01,2024-06-01,2024-09-01,2024-12-01,2025-03-01
ABB,84,166,173,169,,201,196,,,,,,,,,,,
ADANIENSOL,,,,,,362,202,250,600,660,343,370,515,552,-1053,594,559,974
ADANIENT,,,,,,468,632,670,780,1172,1079,791,2361,696,2232,2403,572,5259
ADANIGREEN,,,,,,142,276,170,122,799,415,413,207,347,629,442,291,410
ADANIPORTS,,,,,,1252,1105,1900,1564,917,2491,2521,2741,2341,3593,2885,3020,3532
ADANIPOWER,,,,,,6133,5866,699,212,898,8800,5224,3210,3558,4906,4134,4059,3261
AMBUJACEM,,,,,,1183,895,39,623,989,1512,1340,1450,1595,1094,713,2336,1780
APOLLOHOSP,,,,,367,236,254,327,266,254,270,379,363,368,430,557,536,
ASIANPAINT,,,,,,1189,1407,1094,1478,1710,2105,1651,1968,1624,1604,959,1518,1022
AXISBANK,,,,,,5903,5883,7573,8319,-3153,8192,8314,8688,9985,8643,9177,9007,9895
BAJAJ-AUTO,,,,,1788,1954,1534,2203,1945,2160,2184,2584,2666,2606,2564,2299,2876,
BAJAJFINSV,,,,,,3462,3594,4258,4419,4540,5125,5292,5431,5527,5968,5966,5812,6002
BAJAJHLDNG,,,,,1059,1122,984,1356,1305,1368,1434,1662,1665,2731,1618,1559,1781,
BAJFINANCE,,,,,,3265,3503,3752,4012,4261,4551,4758,4896,5105,5265,5401,5765,5647
BANKBARODA,,,,,,2010,2871,4418,6179,7096,6217,6023,6526,7033,6340,7434,6935,6911
BEL,,,,,,1531,504,831,806,1782,703,1041,1132,2390,1043,1445,1744,2867
BHARTIARTL,,,,,,5037,3592,4265,3689,5014,1853,3940,4108,2778,6025,5897,16892,9584
BOSCHLTD,,,,,336,431,438,487,425,533,532,1317,671,661,611,726,618,
BPCL,,,,,,4730,-7537,-410,1913,8854,14103,11056,4367,6669,3859,3094,5333,5897
BRITANNIA,,,,,,519,463,659,1149,761,622,799,758,735,681,715,778,752
CANBK,,,,,,2839,2961,3351,3886,4229,4933,5098,5009,4960,5422,5513,5515,6576
CGPOWER,,,,,,139,173,241,310,447,270,329,816,301,336,294,335,384
CHOLAFIN,,,,,,927,759,759,923,1163,952,1062,1156,1444,1275,1305,1466,1699
CIPLA,,,,,,448,975,1100,1218,745,1375,1594,1474,1259,1611,1789,1916,1504
COALINDIA,,,,,,9335,12077,7687,10594,9569,13385,10336,13510,11582,14147,8153,11792,12873
DABUR,,,,,,390,564,638,620,396,593,651,661,453,642,546,658,412
DIVISLAB,,,,,,1076,852,615,435,466,492,469,489,713,604,722,726,864
DLF,,,,,251,307,346,351,408,397,373,464,512,802,458,577,174,
DMART,,,,,,609,875,748,812,625,897,852,949,763,1054,903,995,720
DRREDDY,,,,,,259,1468,1614,1638,1329,1850,1917,1829,1605,1883,1917,1874,2005
EICHERMOT,,,,,,806,792,880,971,1156,1212,1307,1298,1385,1441,1362,1461,1669
ETERNAL,,,,,,-359,-186,-261,-364,-204,-15,21,124,161,239,237,124,97
GAIL,,,,,,4375,4230,1675,662,689,2283,3138,4075,3099,4114,3470,5272,3240
GODREJCP,,,,,,384,454,458,665,556,480,619,783,-1684,644,707,682,639
GRASIM,,,,,2931,3606,3869,2356,5087,3415,3438,2862,3472,3928,2976,1968,2448,
HAL,,,,,,2577,822,1631,1213,2844,1089,1651,1689,5795,1584,2023,2042,5219
HAVELLS,,,,,,474,327,252,381,487,382,335,391,599,549,363,377,701
HCLTECH,,,,,,4320,4337,4584,5372,5195,4696,5128,5874,5269,5707,5687,6132,5735
HDFCBANK,,,,,,13690,12823,14956,16936,16783,16597,20967,21243,17761,22727,23968,23973,25573
HDFCLIFE,,,,,,628,378,355,184,525,440,-279,367,450,401,-30,419,500
