ticker,2011-12-01,2019-03-01,2019-06-01,2019-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01,2023-12-01,2024-03-01,2024-06-01,2024-09-01,2024-12-01,2025-03-01
ABB,2203,1850,1726,1746,,1975,2098,,,,,,,,,,,
ADANIENSOL,,,,,,2975,3132,3251,3552,3358,3664,3674,4563,4707,5379,6184,5830,6375
ADANIENT,,,,,,24866,40844,38175,26612,28944,22644,19546,25050,29180,25472,22608,22848,26966
ADANIGREEN,,,,,,1461,1635,1584,1971,2598,2162,2220,2311,2527,2835,3055,2340,3073
ADANIPORTS,,,,,,4141,5058,5211,4786,5797,6248,6646,6920,6896,7560,7067,7964,8488
ADANIPOWER,,,,,,10598,13723,7044,7764,10242,11006,12991,12991,13364,14956,13339,13671,14237
AMBUJACEM,,,,,,7900,8033,7143,7907,7966,8713,7424,8129,8894,8311,7516,9329,9889
APOLLOHOSP,,,,,3639,3546,3796,4251,4264,4302,4418,4847,4851,4944,5086,5589,5527,
ASIANPAINT,,,,,,7893,8607,8458,8637,8787,9182,8479,9103,8731,8970,8028,8549,8359
AXISBANK,,,,,,18209,19193,20783,22843,24630,26246,27418,28865,30231,31159,31601,32162,32452
BAJAJ-AUTO,,,,,9022,7975,8005,10203,9319,8929,10312,10838,12165,11555,11932,13247,13169,
BAJAJFINSV,,,,,,18862,15888,20803,21755,23625,23280,26023,29038,32041,31480,33704,32042,36595
BAJAJHLDNG,,,,,96,89,91,188,98,87,104,225,108,1212,134,279,126,
BAJFINANCE,,,,,,8626,9284,9970,10787,11364,12498,13382,14164,14926,16099,17091,18035,18457
BANKBARODA,,,,,,19097,20048,22424,24834,27196,28003,29263,30042,31072,31143,31887,32570,32345
BEL,,,,,,6340,3141,3962,4153,6479,3533,4009,4162,8564,4244,4605,5771,9150
BHARTIARTL,,,,,,31500,32805,34527,35804,36009,37440,37044,37900,37599,38506,41473,45129,47876
BOSCHLTD,,,,,3109,3311,3544,3662,3660,4063,4158,4130,4205,4233,4317,4394,4466,
BPCL,,,,,,104080,121082,114820,119170,118115,112985,103044,115499,116555,113095,102785,113166,111230
BRITANNIA,,,,,,3550,3701,4380,4197,4023,4011,4433,4256,4069,4250,4668,4593,4432
CANBK,,,,,,18227,18537,20482,22561,24304,25451,27290,28492,29286,29173,30182,30751,31496
CGPOWER,,,,,,1485,1643,1696,1752,1903,1874,2002,1979,2192,2228,2413,2516,2753
CHOLAFIN,,,,,,2605,2770,3017,3356,3741,4100,4623,5007,5410,5812,6255,6733,7046
CIPLA,,,,,,5260,5375,5829,5810,5739,6329,6678,6604,6163,6694,7051,7073,6730
COALINDIA,,,,,,32709,35092,29838,35169,38152,35983,32776,36154,38213,36465,30673,36859,37825
DABUR,,,,,,2518,2822,2986,3043,2678,3130,3204,3255,2815,3349,3029,3355,2830
DIVISLAB,,,,,,2518,2255,1855,1708,1951,1778,1909,1855,2303,2118,2338,2319,2585
DLF,,,,,1550,1547,1442,1302,1495,1456,1423,1348,1521,2135,1362,1975,1529,
DMART,,,,,,8786,10038,10638,11569,10594,11865,12624,13572,12727,14069,14444,15973,14872
DRREDDY,,,,,,5475,5233,6332,6790,6315,6758,6903,7237,7114,7696,8038,8381,8528
EICHERMOT,,,,,,3193,3397,3519,3721,3804,3986,4115,4179,4256,4393,4263,4973,5241
ETERNAL,,,,,,1212,1414,1661,1948,2056,2416,2848,3288,3562,4206,4799,5405,5833
GAIL,,,,,,27328,37897,38680,35885,33207,32789,32986,34698,32756,34738,33889,36835,36442
GODREJCP,,,,,,2916,3125,3392,3599,3200,3449,3602,3660,3386,3332,3666,3768,3598
GRASIM,,,,,24402,28811,28042,27486,28638,33462,31065,30221,31965,37727,33861,33563,34793,
HAL,,,,,,11561,3622,5145,5666,12495,3915,5636,6061,14769,4348,5976,6957,13700
HAVELLS,,,,,,4426,4244,3679,4128,4859,4834,3900,4414,5442,5806,4539,4889,6544
HCLTECH,,,,,,22597,23464,24686,26700,26606,26296,26672,28446,28499,28057,28862,29890,30246
HDFCBANK,,,,,,35574,37274,40930,45002,47548,51168,75039,78008,79434,81546,83002,85040,86779
HDFCLIFE,,,,,,17482,6690,23083,19577,20857,23371,23142,26927,28041,26934,28497,17300,24191
HEROMOTOCO,,,,,,7497,8448,9158,8118,8434,8851,9533,9788,9617,10211,10483,10260,9970
HINDALCO,,,,,50272,55764,58018,56176,53151,55857,52991,54169,52808,55994,57013,58203,58390,
HINDUNILVR,,,,,,13767,14624,15144,15597,15215,15496,15623,15567,15210,15707,15926,15818,15670
ICICIBANK,,,,,,24999,26159,28850,31619,34439,37106,38938,40865,42607,44582,46326,47037,48387
ICICIPRULI,,,,,,13003,-1611,22605,17426,10984,23384,17388,26430,22482,25396,25158,4536,15687
INDHOTEL,,,,,,872,1266,1233,1686,1625,1466,1433,1964,1905,1550,1826,2533,2425
INDIGO,,,,,9295,8021,12855,12498,14933,14161,16683,14944,19452,17825,19571,16970,22111,
INDUSINDBK,,,,,7737,7860,8182,8708,9457,10021,10730,11248,11572,12199,12547,12686,12801,
INFY,,,,,,32276,34470,36538,38318,37441,37933,38994,38821,37923,39315,40986,41764,40925
IOC,,,,,,175292,223411,208757,205715,203872,198551,179246,199906,198650,193845,174976,194014,195270
ITC,,,,,17108,16556,18489,17108,17705,17635,17164,17774,17195,17923,18457,19990,18790,
JINDALSTEL,,,,,,14339,13045,13521,12452,13692,12588,12250,11701,13487,13618,11213,11751,13183
JSWENERGY,,,,,,2441,3026,2387,2248,2670,2928,3259,2543,2756,2879,3238,2439,3189
JSWSTEEL,,,,,38071,46895,38086,41778,39134,46962,42213,44584,41940,46269,42943,39684,41378,
KOTAKBANK,,,,,,8838,9164,9994,11011,11982,12869,13717,14495,15156,15837,16427,16633,16772
LICI,,,,,174831,212098,168799,217092,197714,201231,190163,203033,214054,238968,211952,231132,203751,
LODHA,,,,,,3445,2676,1765,1774,3255,1617,1750,2931,4018,2846,2626,4083,4224
LT,,,,,,52851,35853,42763,46390,58335,47882,51024,55128,67079,55120,61555,64668,74392
LTIM,,,,,,4302,7644,8228,8620,8691,8702,8905,9017,8893,9143,9433,9661,9772
M&M,,,,,,25934,28414,29870,30621,32456,33892,34436,35299,35452,37218,37924,41470,42599
MARUTI,,,,,,26749,26512,29942,29251,32214,32535,37339,33513,38471,35779,37449,38764,40920
